	price	vehicleType	yearOfRegistration	gearbox	powerPS	model	kilometer	monthOfRegistration	fuelType	brand	notRepairedDamage
1	18300	coupe	2011	manual	190	not-declared	125000	5	diesel	audi	Yes
2	9800	suv	2004	automatic	163	grand	125000	8	diesel	jeep	not-declared
3	1500	kleinwagen	2001	manual	75	golf	150000	6	petrol	volkswagen	No
4	3600	kleinwagen	2008	manual	69	fabia	90000	7	diesel	skoda	No
5	650	limousine	1995	manual	102	3er	150000	10	petrol	bmw	Yes
6	2200	cabrio	2004	manual	109	2_reihe	150000	8	petrol	peugeot	No
8	14500	bus	2014	manual	125	c_max	30000	8	petrol	ford	not-declared
9	999	kleinwagen	1998	manual	101	golf	150000	0	not-declared	volkswagen	not-declared
10	2000	limousine	2004	manual	105	3_reihe	150000	12	petrol	mazda	No
11	2799	kombi	2005	manual	140	passat	150000	12	diesel	volkswagen	Yes
12	999	kombi	1995	manual	115	passat	150000	11	petrol	volkswagen	not-declared
13	2500	kombi	2004	manual	131	passat	150000	2	not-declared	volkswagen	No
14	17999	suv	2011	manual	190	navara	70000	3	diesel	nissan	No
16	300	not-declared	2016	not-declared	60	polo	150000	0	petrol	volkswagen	not-declared
17	1750	kleinwagen	2004	automatic	75	twingo	150000	2	petrol	renault	No
18	7550	bus	2007	manual	136	c_max	150000	6	diesel	ford	No
19	1850	bus	2004	manual	102	a_klasse	150000	1	petrol	mercedes_benz	No
20	10400	coupe	2009	manual	160	scirocco	100000	4	petrol	volkswagen	No
21	3699	limousine	2002	automatic	231	5er	150000	7	petrol	bmw	No
24	500	limousine	1990	manual	118	andere	150000	10	petrol	mercedes_benz	Yes
25	2500	kombi	2002	automatic	193	5er	150000	9	diesel	bmw	Yes
27	6900	limousine	2008	manual	99	civic	60000	11	petrol	honda	No
29	690	kleinwagen	2003	manual	60	punto	150000	3	petrol	fiat	No
30	3300	limousine	1995	automatic	113	e_klasse	150000	1	diesel	mercedes_benz	No
31	899	not-declared	2016	manual	60	clio	150000	6	petrol	renault	not-declared
33	18000	limousine	2007	automatic	218	3er	20000	5	petrol	bmw	No
34	3500	limousine	2004	automatic	122	e_klasse	150000	11	diesel	mercedes_benz	No
35	350	not-declared	2016	manual	75	golf	150000	4	petrol	volkswagen	No
36	1600	andere	1991	manual	75	kadett	70000	0	not-declared	opel	not-declared
38	11900	andere	2002	manual	129	andere	150000	11	diesel	volkswagen	No
39	1500	bus	1984	manual	70	andere	150000	8	diesel	mercedes_benz	No
41	7500	limousine	2002	automatic	306	e_klasse	150000	4	not-declared	mercedes_benz	not-declared
42	12500	limousine	2006	automatic	231	5er	150000	11	diesel	bmw	not-declared
43	6990	limousine	2007	manual	95	one	100000	8	petrol	mini	No
44	3900	kleinwagen	2008	automatic	61	fortwo	80000	6	petrol	smart	not-declared
45	590	kleinwagen	1999	manual	75	clio	125000	8	petrol	renault	No
46	7999	limousine	2007	manual	177	1er	150000	8	diesel	bmw	No
47	2100	kombi	1998	automatic	193	5er	150000	2	petrol	bmw	No
49	13500	bus	2012	automatic	109	b_klasse	150000	7	diesel	mercedes_benz	No
50	14800	cabrio	2008	manual	170	1er	125000	4	petrol	bmw	not-declared
52	1400	not-declared	2016	manual	55	andere	5000	1	not-declared	hyundai	not-declared
53	7999	limousine	2008	automatic	143	3er	150000	12	diesel	bmw	not-declared
56	39600	coupe	2014	automatic	306	andere	30000	7	petrol	bmw	No
57	3000	cabrio	2006	automatic	61	fortwo	80000	1	petrol	smart	No
59	1000	limousine	1998	manual	101	golf	150000	10	petrol	volkswagen	No
61	200	coupe	1995	manual	102	3er	150000	4	petrol	bmw	not-declared
62	7499	limousine	2004	automatic	232	a8	150000	3	diesel	audi	Yes
63	5500	kleinwagen	2010	manual	60	fabia	70000	4	petrol	skoda	No
64	7000	limousine	2006	automatic	105	jetta	100000	10	diesel	volkswagen	No
65	14999	cabrio	2007	manual	218	3er	50000	8	petrol	bmw	No
67	9700	coupe	2008	manual	160	scirocco	150000	8	petrol	volkswagen	No
68	2100	suv	2000	manual	105	andere	150000	8	petrol	honda	No
69	1280	limousine	1992	automatic	109	andere	150000	9	petrol	mercedes_benz	not-declared
72	2300	not-declared	1997	manual	150	5er	150000	3	not-declared	bmw	No
74	7999	kombi	2008	manual	156	c_klasse	150000	10	petrol	mercedes_benz	No
75	6600	limousine	2006	manual	105	golf	150000	10	diesel	volkswagen	No
76	7999	kleinwagen	2013	manual	80	micra	40000	4	petrol	nissan	No
77	1400	andere	2003	manual	82	vito	150000	8	diesel	mercedes_benz	No
78	800	not-declared	2000	manual	90	golf	150000	2	diesel	volkswagen	not-declared
79	5000	bus	2006	manual	109	sprinter	150000	4	diesel	mercedes_benz	No
80	20300	limousine	2010	automatic	204	e_klasse	80000	12	diesel	mercedes_benz	No
81	150	not-declared	2016	manual	75	astra	150000	3	petrol	opel	Yes
82	250	kombi	2000	manual	155	156	150000	0	petrol	alfa_romeo	Yes
83	350	kleinwagen	1997	manual	54	not-declared	150000	3	not-declared	fiat	Yes
84	600	limousine	1994	manual	75	escort	100000	6	petrol	ford	Yes
85	3300	kombi	2005	manual	150	c_klasse	150000	9	diesel	mercedes_benz	Yes
86	1600	kombi	1997	automatic	122	forester	150000	10	petrol	subaru	No
87	8000	suv	2005	manual	185	xc_reihe	150000	8	diesel	volvo	not-declared
88	1800	bus	2001	manual	87	andere	150000	7	diesel	mitsubishi	No
89	6800	kleinwagen	2009	manual	82	fiesta	60000	12	petrol	ford	No
90	2990	bus	2004	manual	113	scenic	150000	12	petrol	renault	No
93	1222	limousine	1984	automatic	180	andere	150000	3	petrol	opel	not-declared
94	250	not-declared	2000	not-declared	60	ka	150000	0	not-declared	ford	not-declared
95	14500	kleinwagen	2013	manual	86	a1	60000	4	petrol	audi	No
97	3850	limousine	2003	manual	131	passat	150000	5	diesel	volkswagen	No
98	23490	limousine	2013	automatic	143	3er	40000	6	diesel	bmw	No
99	6450	bus	2008	manual	84	transporter	150000	12	not-declared	volkswagen	No
100	1700	kleinwagen	1999	automatic	102	a_klasse	125000	11	petrol	mercedes_benz	No
102	1500	kombi	2006	manual	109	focus	150000	10	diesel	ford	No
103	499	limousine	1995	manual	101	a4	150000	5	petrol	audi	not-declared
104	22999	coupe	2012	automatic	303	andere	50000	4	petrol	hyundai	No
105	6500	limousine	2004	manual	163	a4	150000	4	diesel	audi	not-declared
106	900	kombi	1999	manual	125	c_klasse	150000	7	diesel	mercedes_benz	No
107	650	limousine	1997	automatic	102	3er	150000	8	petrol	bmw	not-declared
108	300	cabrio	1992	manual	105	escort	150000	0	not-declared	ford	Yes
109	3399	coupe	1999	manual	224	tt	150000	9	petrol	audi	Yes
110	1300	kombi	1997	manual	101	passat	150000	10	petrol	volkswagen	No
111	900	not-declared	1995	manual	90	civic	150000	3	petrol	honda	not-declared
112	7300	limousine	2009	automatic	235	5er	100000	3	diesel	bmw	No
113	8599	cabrio	2006	manual	200	astra	125000	9	petrol	opel	No
116	5900	kombi	2005	automatic	178	a6	150000	1	diesel	audi	No
117	6300	limousine	2002	manual	265	golf	150000	3	petrol	volkswagen	No
118	3500	coupe	1991	manual	160	andere	150000	5	petrol	volkswagen	No
120	5950	limousine	2006	manual	163	3er	150000	1	diesel	bmw	Yes
121	1699	kleinwagen	2003	manual	77	jazz	150000	8	petrol	honda	No
122	4699	bus	1996	manual	110	transporter	150000	8	petrol	volkswagen	No
123	400	limousine	2000	manual	144	omega	150000	10	not-declared	opel	Yes
124	9290	kleinwagen	2010	manual	86	polo	40000	5	petrol	volkswagen	No
125	7000	limousine	2003	manual	120	slk	150000	5	petrol	mercedes_benz	No
126	1199	kleinwagen	2000	manual	60	twingo	150000	5	petrol	renault	No
127	1750	limousine	2002	manual	75	focus	125000	1	petrol	ford	No
128	1000	limousine	1990	manual	54	golf	150000	2	petrol	volkswagen	No
129	1800	limousine	1995	automatic	286	7er	150000	12	petrol	bmw	Yes
131	1100	bus	2003	manual	75	combo	150000	3	diesel	opel	No
132	2990	kombi	2001	automatic	170	e_klasse	150000	1	diesel	mercedes_benz	No
133	300	kleinwagen	2000	manual	54	corsa	150000	0	petrol	opel	not-declared
135	2750	kombi	2001	manual	131	passat	150000	12	diesel	volkswagen	No
136	6990	kombi	2012	manual	75	fabia	100000	5	diesel	skoda	No
137	4800	cabrio	1996	manual	116	80	150000	6	petrol	audi	No
138	14499	limousine	2007	automatic	170	c_klasse	125000	5	diesel	mercedes_benz	No
139	1450	limousine	1992	manual	136	not-declared	150000	0	not-declared	audi	No
140	4300	limousine	2005	manual	90	golf	150000	11	diesel	volkswagen	not-declared
141	2499	limousine	2003	manual	110	civic	150000	12	petrol	honda	not-declared
142	3450	limousine	2007	manual	120	147	150000	4	diesel	alfa_romeo	No
143	350	limousine	1996	manual	122	c_klasse	150000	9	petrol	mercedes_benz	not-declared
144	3550	kombi	2000	automatic	184	5er	150000	11	diesel	bmw	No
145	8250	bus	2010	manual	109	c_max	125000	10	diesel	ford	No
146	800	kleinwagen	1998	manual	54	clio	150000	11	petrol	renault	No
147	1500	kombi	1996	manual	126	a4	150000	0	not-declared	audi	No
148	41900	suv	2014	automatic	204	glk	40000	9	diesel	mercedes_benz	No
149	4200	kombi	2003	automatic	204	3er	150000	1	diesel	bmw	No
151	1000	kleinwagen	1996	manual	75	golf	150000	3	petrol	volkswagen	No
153	800	limousine	2004	manual	88	3_reihe	150000	9	petrol	peugeot	Yes
154	2300	limousine	2000	manual	160	c_klasse	150000	5	petrol	mercedes_benz	No
155	4000	kombi	2003	automatic	163	a6	150000	6	diesel	audi	No
156	6799	kleinwagen	2009	not-declared	60	not-declared	20000	5	petrol	volkswagen	No
158	9450	cabrio	2004	manual	170	z_reihe	150000	12	petrol	bmw	No
161	6890	limousine	2003	manual	170	c_klasse	125000	2	diesel	mercedes_benz	No
162	7500	suv	2007	automatic	194	sorento	5000	11	petrol	kia	not-declared
164	1499	kleinwagen	2002	manual	140	a_klasse	150000	10	not-declared	mercedes_benz	No
166	1495	kombi	2001	not-declared	64	not-declared	150000	9	diesel	volkswagen	not-declared
169	850	limousine	1989	manual	69	golf	125000	11	petrol	volkswagen	No
170	8500	bus	2007	manual	131	transporter	150000	12	diesel	volkswagen	No
172	1500	limousine	2000	manual	75	civic	125000	11	petrol	honda	No
173	950	limousine	1995	manual	115	5er	150000	0	petrol	bmw	not-declared
174	3200	kleinwagen	2004	manual	64	ibiza	80000	2	petrol	seat	No
175	11890	bus	2011	manual	116	c_max	150000	4	diesel	ford	No
176	2900	coupe	2000	automatic	170	3er	150000	2	petrol	bmw	No
177	19750	cabrio	2006	manual	305	mustang	50000	7	petrol	ford	No
178	9800	cabrio	2006	manual	150	eos	60000	11	petrol	volkswagen	No
179	1990	kleinwagen	2003	manual	80	fiesta	125000	4	petrol	ford	No
180	10500	bus	2006	automatic	150	vito	150000	6	diesel	mercedes_benz	No
181	11000	limousine	2012	manual	131	astra	70000	3	diesel	opel	No
183	2390	kombi	2000	automatic	197	e_klasse	150000	5	diesel	mercedes_benz	No
184	16449	kombi	2015	automatic	110	fabia	10000	8	petrol	skoda	No
186	3000	not-declared	2016	automatic	75	fabia	150000	0	petrol	skoda	not-declared
187	14300	limousine	2011	manual	120	a4	60000	5	petrol	audi	No
188	5999	kleinwagen	2009	manual	80	polo	125000	5	petrol	volkswagen	No
189	3700	kombi	2003	automatic	179	a6	150000	11	diesel	audi	No
190	8999	bus	2007	manual	105	touran	90000	2	diesel	volkswagen	No
191	14000	limousine	2008	not-declared	235	not-declared	150000	0	not-declared	bmw	No
192	25000	coupe	1968	automatic	305	mustang	90000	11	petrol	ford	No
193	2790	limousine	1992	manual	90	80	80000	3	petrol	audi	No
194	13400	limousine	2008	manual	170	3er	100000	12	petrol	bmw	No
195	4900	bus	2006	manual	102	golf	150000	8	petrol	volkswagen	Yes
196	11299	limousine	2006	automatic	250	golf	150000	8	petrol	volkswagen	No
197	550	andere	1997	manual	75	golf	150000	6	petrol	volkswagen	No
198	1400	kleinwagen	2006	manual	88	getz	150000	7	diesel	hyundai	Yes
200	9500	kombi	2011	manual	131	insignia	150000	12	diesel	opel	No
201	1800	kombi	1999	manual	90	golf	150000	4	diesel	volkswagen	No
204	1350	kleinwagen	2002	manual	60	ka	150000	8	petrol	ford	not-declared
205	11000	kombi	2006	automatic	231	5er	150000	11	diesel	bmw	No
206	1999	not-declared	2016	manual	110	almera	150000	9	diesel	nissan	not-declared
207	6900	cabrio	2006	manual	163	megane	100000	1	petrol	renault	No
209	12999	kombi	2008	automatic	179	a6	150000	8	diesel	audi	No
210	18400	kombi	2011	automatic	313	5er	150000	11	diesel	bmw	No
211	999	limousine	1995	manual	75	andere	150000	10	petrol	volkswagen	No
212	12899	kombi	2009	automatic	140	a3	150000	9	diesel	audi	No
213	10500	limousine	2010	manual	143	3er	150000	5	diesel	bmw	No
215	8500	limousine	2010	manual	80	golf	50000	3	petrol	volkswagen	No
216	14900	limousine	2007	manual	265	1er	150000	10	petrol	bmw	No
217	500	kleinwagen	1994	manual	75	golf	150000	3	petrol	volkswagen	No
219	1250	limousine	1996	manual	125	a3	150000	9	petrol	audi	No
220	370	kleinwagen	1992	manual	54	polo	125000	10	petrol	volkswagen	No
221	1000	kombi	1999	manual	165	a6	150000	0	not-declared	audi	not-declared
222	350	limousine	1993	manual	88	r19	150000	3	petrol	renault	No
223	8600	coupe	2007	manual	197	3er	150000	4	diesel	bmw	No
225	2222	cabrio	1991	manual	98	golf	150000	3	petrol	volkswagen	No
226	850	not-declared	1985	manual	54	caddy	150000	0	diesel	volkswagen	not-declared
227	11800	limousine	2005	automatic	218	3er	150000	11	petrol	bmw	No
228	4000	bus	2008	manual	115	c_max	125000	6	diesel	ford	Yes
229	4650	kombi	2005	automatic	150	c_klasse	150000	8	diesel	mercedes_benz	not-declared
230	1450	kleinwagen	1999	manual	75	2_reihe	150000	8	petrol	peugeot	No
232	800	kombi	2002	manual	115	mondeo	150000	12	diesel	ford	not-declared
233	1600	kombi	2000	manual	90	cordoba	150000	11	not-declared	seat	No
234	2800	limousine	2004	manual	75	golf	100000	9	petrol	volkswagen	Yes
235	5499	kombi	2004	manual	122	c_klasse	150000	9	diesel	mercedes_benz	No
236	5500	limousine	2000	manual	170	3er	150000	5	petrol	bmw	No
239	22290	kombi	2013	manual	150	a4	50000	8	diesel	audi	No
240	3750	not-declared	2005	not-declared	75	golf	150000	0	not-declared	volkswagen	not-declared
241	1440	bus	2003	manual	109	andere	150000	11	diesel	lancia	No
242	1150	kleinwagen	2000	manual	75	clio	150000	3	petrol	renault	No
243	15700	limousine	2011	manual	170	golf	90000	3	diesel	volkswagen	No
244	899	coupe	1995	manual	102	3er	150000	8	petrol	bmw	No
246	9200	kombi	2006	manual	150	3er	150000	1	petrol	bmw	No
